home_code,away_code,stage,group,kickoff_at
MEX,RSA,group,A,2026-06-11T19:00:00Z
KOR,CZE,group,A,2026-06-12T02:00:00Z
CAN,BIH,group,B,2026-06-12T19:00:00Z
USA,PAR,group,D,2026-06-13T01:00:00Z
QAT,SUI,group,B,2026-06-13T19:00:00Z
BRA,MAR,group,C,2026-06-13T22:00:00Z
HAI,SCO,group,C,2026-06-14T01:00:00Z
AUS,TUR,group,D,2026-06-14T04:00:00Z
GER,CUW,group,E,2026-06-14T17:00:00Z
NED,JPN,group,F,2026-06-14T20:00:00Z
CIV,ECU,group,E,2026-06-14T23:00:00Z
SWE,TUN,group,F,2026-06-15T02:00:00Z
ESP,CPV,group,H,2026-06-15T16:00:00Z
BEL,EGY,group,G,2026-06-15T19:00:00Z
KSA,URU,group,H,2026-06-15T22:00:00Z
IRN,NZL,group,G,2026-06-16T01:00:00Z
FRA,SEN,group,I,2026-06-16T19:00:00Z
IRQ,NOR,group,I,2026-06-16T22:00:00Z
ARG,ALG,group,J,2026-06-17T01:00:00Z
AUT,JOR,group,J,2026-06-17T04:00:00Z
POR,COD,group,K,2026-06-17T17:00:00Z
ENG,CRO,group,L,2026-06-17T20:00:00Z
GHA,PAN,group,L,2026-06-17T23:00:00Z
UZB,COL,group,K,2026-06-18T02:00:00Z
CZE,RSA,group,A,2026-06-18T16:00:00Z
SUI,BIH,group,B,2026-06-18T19:00:00Z
CAN,QAT,group,B,2026-06-18T22:00:00Z
MEX,KOR,group,A,2026-06-19T01:00:00Z
USA,AUS,group,D,2026-06-19T19:00:00Z
SCO,MAR,group,C,2026-06-19T22:00:00Z
BRA,HAI,group,C,2026-06-20T01:00:00Z
TUR,PAR,group,D,2026-06-20T04:00:00Z
NED,SWE,group,F,2026-06-20T17:00:00Z
GER,CIV,group,E,2026-06-20T20:00:00Z
ECU,CUW,group,E,2026-06-21T00:00:00Z
TUN,JPN,group,F,2026-06-21T04:00:00Z
ESP,KSA,group,H,2026-06-21T16:00:00Z
BEL,IRN,group,G,2026-06-21T19:00:00Z
URU,CPV,group,H,2026-06-21T22:00:00Z
NZL,EGY,group,G,2026-06-22T01:00:00Z
ARG,AUT,group,J,2026-06-22T17:00:00Z
FRA,IRQ,group,I,2026-06-22T21:00:00Z
NOR,SEN,group,I,2026-06-23T00:00:00Z
JOR,ALG,group,J,2026-06-23T03:00:00Z
POR,UZB,group,K,2026-06-23T17:00:00Z
ENG,GHA,group,L,2026-06-23T20:00:00Z
PAN,CRO,group,L,2026-06-23T23:00:00Z
COL,COD,group,K,2026-06-24T02:00:00Z
SUI,CAN,group,B,2026-06-24T19:00:00Z
BIH,QAT,group,B,2026-06-24T19:00:00Z
SCO,BRA,group,C,2026-06-24T22:00:00Z
MAR,HAI,group,C,2026-06-24T22:00:00Z
RSA,KOR,group,A,2026-06-25T01:00:00Z
CZE,MEX,group,A,2026-06-25T01:00:00Z
CUW,CIV,group,E,2026-06-25T20:00:00Z
ECU,GER,group,E,2026-06-25T20:00:00Z
JPN,SWE,group,F,2026-06-25T23:00:00Z
TUN,NED,group,F,2026-06-25T23:00:00Z
TUR,USA,group,D,2026-06-26T02:00:00Z
PAR,AUS,group,D,2026-06-26T02:00:00Z
NOR,FRA,group,I,2026-06-26T19:00:00Z
SEN,IRQ,group,I,2026-06-26T19:00:00Z
CPV,KSA,group,H,2026-06-27T00:00:00Z
URU,ESP,group,H,2026-06-27T00:00:00Z
EGY,IRN,group,G,2026-06-27T03:00:00Z
NZL,BEL,group,G,2026-06-27T03:00:00Z
CRO,GHA,group,L,2026-06-27T21:00:00Z
PAN,ENG,group,L,2026-06-27T21:00:00Z
COL,POR,group,K,2026-06-27T23:30:00Z
COD,UZB,group,K,2026-06-27T23:30:00Z
JOR,ARG,group,J,2026-06-28T02:00:00Z
ALG,AUT,group,J,2026-06-28T02:00:00Z
,,round_of_32,,2026-06-28T19:00:00Z
,,round_of_32,,2026-06-29T17:00:00Z
,,round_of_32,,2026-06-29T20:30:00Z
,,round_of_32,,2026-06-30T01:00:00Z
,,round_of_32,,2026-06-30T17:00:00Z
,,round_of_32,,2026-06-30T21:00:00Z
,,round_of_32,,2026-07-01T01:00:00Z
,,round_of_32,,2026-07-01T16:00:00Z
,,round_of_32,,2026-07-01T20:00:00Z
,,round_of_32,,2026-07-02T00:00:00Z
,,round_of_32,,2026-07-02T19:00:00Z
,,round_of_32,,2026-07-02T23:00:00Z
,,round_of_32,,2026-07-03T03:00:00Z
,,round_of_32,,2026-07-03T18:00:00Z
,,round_of_32,,2026-07-03T22:00:00Z
,,round_of_32,,2026-07-04T01:30:00Z
,,round_of_16,,2026-07-04T17:00:00Z
,,round_of_16,,2026-07-04T21:00:00Z
,,round_of_16,,2026-07-05T20:00:00Z
,,round_of_16,,2026-07-06T00:00:00Z
,,round_of_16,,2026-07-07T00:00:00Z
,,round_of_16,,2026-07-06T19:00:00Z
,,round_of_16,,2026-07-07T16:00:00Z
,,round_of_16,,2026-07-07T20:00:00Z
,,quarter,,2026-07-09T20:00:00Z
,,quarter,,2026-07-10T19:00:00Z
,,quarter,,2026-07-11T21:00:00Z
,,quarter,,2026-07-12T01:00:00Z
,,semi,,2026-07-14T19:00:00Z
,,semi,,2026-07-15T19:00:00Z
,,third_place,,2026-07-18T21:00:00Z
,,final,,2026-07-19T19:00:00Z
